"·         Average weekly time spent on firewood collection, by sex* ",,,,,,,,,
"·         Average weekly time spent in water collection (including waiting time at public supply points), by sex* ",,,,,,,,,
,,,,,,,,,
II. Education data gaps:,,,,,,,,,
Type of gap,,Number of countries with coverage (of 143),Tier according to IAEG-GS,,,,,,
Coverage/Production (partial),"25a: Share of graduates in science, tertiary level, who are women",52,2,,,,,,
Coverage/Production (partial),"25b: Share of graduates in engineering, manufacturing and construction tertiary level, who are women",52,2,,,,,,
Coverage/Production (partial),29: Graduation at lower secondary by sex,78,1,,,,,,
Coverage/Production,31: Education attainment of population aged 25 and over by sex,0,1,,,,,,
,,,,,,,,,
"·         Ratio of female to male completion rates in primary, secondary, and tertiary education. ",,,,,,,,,
"·         Secondary completion rate, by sex* ",,,,,,,,,
"·         Percentage of population using the Internet, by sex* ",,,,,,,,,
,,,,,,,,,
III. Health and related services data gap:,,,,,,,,,
Type of gap,,Number of countries with coverage (of 143),Tier according to IAEG-GS,,,,,,
Coverage/Production (partial),32: Contraceptive prevalence among married or in-union women aged 15-49,72,1,,,,,,
Coverage/Production (partial),35: Antenatal care coverage,75,1,,,,,,
Coverage/Production,"40: Access to anti-retroviral drug, by sex",0,1,,,,,,
Coverage/Production,"41: Life expectancy at age 60, by sex",0,1,,,,,,
"Coverage/Production, Standards",42: Adult mortality by cause and age groups,0,3,,,,,,
,,,,,,,,,
·         Proportion of contraceptive demand satisfied ,,,,,,,,,
"·         Percentage of reproductive-age women, and their sexual partners using modern contraceptives ",,,,,,,,,
"·         Percentage of population undernourished, by sex* ",,,,,,,,,
"·         Prevalence of lower respiratory tract infections, by sex* ",,,,,,,,,
"·         Available emergency obstetric care facilities per 100,000 population* ",,,,,,,,,
·         Unmet need for family planning* ,,,,,,,,,
·         Age of mother at birth of first child ever born* ,,,,,,,,,
"·         Percentage of households using solid cooking fuels, by urban/rural location* ",,,,,,,,,
·         Proportion of population using an improved drinking-water source* ,,,,,,,,,
·         Proportion of population using an improved sanitation facility* ,,,,,,,,,
,,,,,,,,,
IV. Public life and decision-making data gap:,,,,,,,,,
Type of gap,,Number of countries with coverage (of 143),Tier according to IAEG-GS,,,,,,
Coverage/Production,45: Women’s share of managerial positions,37,1,,,,,,
Coverage/Production,46: Percentage female among police officers,0,2,,,,,,
,,,,,,,,,
·         Percentage of seats held by women in local government bodies ,,,,,,,,,
·         Percentage of women who have a say in household decisions regarding large purchases* ,,,,,,,,,
·         Percentage of women who have a say in household decisions regarding their own health* ,,,,,,,,,
·         Percentage of women who have a say in household decisions regarding visiting relatives* ,,,,,,,,,
"·         Percentage of people who think important decisions in the household should be made by both men and women, by sex* ",,,,,,,,,
·         Proportion of seats held by women in local governments* ,,,,,,,,,
"·         Percentage of the population with basic national identity documentation, by sex* ",,,,,,,,,
"·         Birth registration coverage, by sex* ",,,,,,,,,
·         Proportion of women in decision-making roles in relevant regional organizations involved in preventing conflict* ,,,,,,,,,
·         Proportion of women in company boards* ,,,,,,,,,
·         Proportion of media professionals who are women* ,,,,,,,,,
·         Proportion of managers of civil society institutions who are women* ,,,,,,,,,
·         Proportion of women who are members of civil society organizations* ,,,,,,,,,
·         Proportion of law enforcement professionals who are women (including judges and the police)* ,,,,,,,,,
,,,,,,,,,
V. Human rights of women and girl children data gap:,,,,,,,,,
Type of gap,,Number of countries with coverage (of 143),Tier according to IAEG-GS,,,,,,
Coverage/Production,48: Proportion of women aged 15-49 subjected to physical or sexual violence in the last 12 months by an intimate partner,0,2,,,,,,
Coverage/Production,49: Proportion of women aged 15-49 subjected to physical or sexual violence in the last 12 months by persons other than an intimate partner,0,2,,,,,,
Coverage/Production,50: Prevalence of FGM/C (for relevant countries only),17,2,,,,,,
Coverage/Production (partial),51: Percentage of women 20-24 years old who were married or in union before age 18,57,1,,,,,,
,,,,,,,,,
"·         Total and age-specific rate of ever-partnered women subjected to sexual and/or physical violence by a current or former intimate partner in the last 12 months, by frequency* ",,,,,,,,,
"·         Total and age-specific rate of ever-partnered women subjected to sexual and/or physical violence by a current or former intimate partner during lifetime, by frequency* ",,,,,,,,,
·         Rates of female genital mutilation and other traditional harmful practices* ,,,,,,,,,
"·         Percentage of people who think it is never justifiable for a man to beat his wife, by sex* ",,,,,,,,,
"·         Percentage of people who think a woman can refuse to have sex with her husband under any circumstance, by sex* ",,,,,,,,,
·         Proportion of women over 15 years old subjected to physical or sexual violence in the past 12 months who reported it to the justice system* ,,,,,,,,,
"·         Proportion of the population who feel safe walking alone at night in the area where they live, by sex* ",,,,,,,,,
"·         Proportion of national budgets allocated to the prevention of, and the response to, violence against women* ",,,,,,,,,
,,,,,,,,,
